Model,Accuracy,ROC-AUC,Features,AUC Advantage of Best Model
Logistic Regression (5 features),0.8218053927315357,0.910013204225352,"Age, Glucose, Waist_Circumference, BMI, Gender",0.057904196009389564
AdaBoost,0.8722157092614302,0.9679174002347416,all,0.0
